code_postal,nom_commune
38460.0,ANNOISIN-CHATELANS
38420.0,LE VERSOUD
38370.0,LES ROCHES-DE-CONDRIEU
38200.0,SAINT-SORLIN-DE-VIENNE
38430.0,SAINT-JEAN-DE-MOIRANS
38200.0,SERPAIZE
27110.0,VENON
38140.0,REAUMONT
65700.0,LA RIVIERE
5200.0,SAINT-SAUVEUR
38280.0,JANNEYRIAS
38140.0,RENAGE
,POMMIERS LA PLACETTE
38710.0,LAVARS
38320.0,BRIE-ET-ANGONNES
38580.0,LA CHAPELLE-DU-BARD
38510.0,MORESTEL
38140.0,IZEAUX
38960.0,SAINT-ETIENNE-DE-CROSSEY
38190.0,BERNIN
38080.0,FOUR
38510.0,COURTENAY
38650.0,GRESSE-EN-VERCORS
38300.0,SUCCIEU
38930.0,SAINT-MAURICE-EN-TRIEVES
38710.0,TREMINIS
38480.0,ROMAGNIEU
38380.0,SAINT-PIERRE-DE-CHARTREUSE
38580.0,LE HAUT-BREDA
38190.0,LAVAL-EN-BELLEDONNE
38450.0,SAINT-GEORGES-DE-COMMIERS
38112.0,AUTRANS-MEAUDRE EN VERCORS
38760.0,SAINT-PAUL-DE-VARCES
38470.0,L'ALBENC
38780.0,ESTRABLIN
38790.0,DIEMOZ
38390.0,PARMILIEU
38560.0,CHAMP-SUR-DRAC
38410.0,SAINT MARTIN D'URIAGE
38680.0,SAINT-JUST-DE-CLAIX
38260.0,THODURE
38350.0,SAINT-HONORE
38620.0,SAINT-BUEIL
38580.0,LE MOUTARET
38140.0,APPRIEU
38690.0,EYDOCHE
38930.0,SAINT-MARTIN-DE-CLELLES
38660.0,PLATEAU-DES-PETITES-ROCHES
38620.0,SAINT-SULPICE-DES-RIVOIRES
38260.0,CHAMPIER
38420.0,MURIANETTE
38160.0,SAINT-ROMANS
38160.0,SAINT-VERAND
38620.0,MASSIEU
38690.0,LONGECHENAL
1470.0,MONTAGNIEU
38790.0,SAINT-GEORGES-D'ESPERANCHE
30200.0,SAINT-GERVAIS
38890.0,SAINT-CHEF
38350.0,PONSONNAS
38300.0,MAUBEC
38660.0,SAINT-VINCENT-DE-MERCUZE
38590.0,LA FORTERESSE
38930.0,CHICHILIANNE
38250.0,LANS-EN-VERCORS
26150.0,SAINT-ANDEOL
38080.0,SAINT-MARCEL-BEL-ACCUEIL
38110.0,SAINT-JEAN-DE-SOUDAIN
38080.0,L'ISLE-D'ABEAU
38114.0,OZ
38970.0,CORPS
38114.0,VAUJANY
38114.0,ALLEMOND
38142.0,AURIS
38470.0,NOTRE-DAME-DE-L'OSIER
38450.0,NOTRE-DAME-DE-COMMIERS
38118.0,HIERES-SUR-AMBY
38160.0,IZERON
16440.0,CLAIX
38540.0,GRENAY
38410.0,SAINT-MARTIN-D'URIAGE
38134.0,LA SURE EN CHARTREUSE
38210.0,SAINT-QUENTIN-SUR-ISERE
38630.0,CORBELIN
38300.0,CHEZENEUVE
38680.0,AUBERIVES-EN-ROYANS
38090.0,BONNEFAMILLE
38270.0,MARCOLLIN
38260.0,GILLONNAY
1320.0,CHATENAY
38210.0,POLIENAS
38690.0,BURCIN
