siren,nom_entreprise,adresse,ville,code_postal,code_epci
332056910,PHILIPPE BESSARD,DU CHATEAU,ANNONAY,7100,200072015
453250201,L'AUBERGE CAMPAGNARDE - MERLOZ (SARL L'AUBERGE CAMPAGNARDE - MERLOZ),LE VILLAGE,EVOSGES,1230,200042935
522731256,DIEGO HEU,JACQUES DUPRE,VILLENEUVE-DE-BERG,7170,240700815
304154859,FORCES MOTRICES DE L'AIN ET DU JURA (FMAJ),DE LA OUTARDE,CHATEAU-GAILLARD,1500,240100883
925325078,IRISOLAR 34,OLIVIER PERROY,ROUSSET,13790,200054807
824110902,PHEBUS INVEST 05,DE LACOURTENSOURT,FENOUILLET,31150,243100518
939359048,SILOSUN PV24 (SILOSUN),PIERRE DRAVET,MARSEILLE,13011,200054807
572102176,SOGERES (SOGERES),DE LA REDOUTE,GUYANCOURT,78280,200058782
338253081,SODEXO SANTE MEDICO SOCIAL (SFS),DE LA REDOUTE,GUYANCOURT,78280,200058782
478455793,BOULANGERIES BG (B B G),DE LA CHAFFINE,CHATEAURENARD,13160,200035087
433957693,SANTE RESTAURATION SERVICES (ANTHEMIS),DES GAUDINES,SAINT-GERMAIN-EN-LAYE,78100,200058519
414815043,LAFARGE BETONS,GARIBALDI,ISSY-LES-MOULINEAUX,92130,200054781
538160615,PICOTIE SOLAIRE,LE LANGAULT,SAINT-HILAIRE-LA-GRAVELLE,41160,200040772
130017791,VOIES NAVIGABLES DE FRANCE (VNF),LUDOVIC BOUTLEUX,BETHUNE,62400,200072460
910546472,OTS T1,GEORGES BIZET,PARIS,75016,200054781
911666824,IRISOLAR 28,OLIVIER PERROY,ROUSSET,13790,200054807
416220010,MAZAGRAN SERVICE,DE L'ETANG,AVALLON,89200,200039758
507841229,SCHIEVER CARBURANTS,DE L'ETANG,AVALLON,89200,200039758
775618150,GROUPE SOS SENIORS,HAUTE SEILLE,METZ,57000,200039865
951830413,SILVERSUN DGS 2,RENE DUMONT,LAMBESC,13410,200054807
775544083,ASS DEP AMIS ENFANTS INADAPTES (ADAPEI),DES GRANGES BARDES,BOURG-EN-BRESSE,1000,200071751
424442762,BORALEX,JEAN JAURES,BLENDECQUES,62575,200069037
200086122,COMMUNE DE PLATEAU D'HAUTEVILLE,DE LA REPUBLIQUE,PLATEAU D'HAUTEVILLE,1110,200042935
315502013,ADPEP ASSO PUPILLE ENSEI PUBLI,JEAN-MARIE VERNE,BOURG-EN-BRESSE,1000,200071751
810990275,PRISE SNC,SAINT-LAZARE,PARIS,75009,200054781
260110192,CTRE HOSPITALIER PUBLIC D HAUTEVILLE (CHPH),FELIX MANGINI,PLATEAU D'HAUTEVILLE,1110,200042935
351561451,SPIE BATIGNOLLES TP AURA,D'ARGENT,MORESTEL,38510,200068542
900074477,CLAUDE LEBLANC,DE PONT-NAVET,SAINT-MARTIN-DE-BAVEL,1510,200040350
338253230,SODEXO ENTREPRISES,DE LA REDOUTE,GUYANCOURT,78280,200058782
902890292,NWJ MET 3,BOSQUET,PARIS,75007,200054781
338253131,SOCIETE FRANCAISE DE RESTAURATION ET SERVICES (SODEXO ECOLES & UNIVERSITES DEL APPRO LES PETITS GASTRONOMES SODEXO ENSEIGNEMENT SUPERIEUR) (SFRS),DE LA REDOUTE,GUYANCOURT,78280,200058782
351442082,NEWREST RESTAURATION,HENRY POTEZ,BLAGNAC,31700,243100518
384006029,CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES (CERA(CAISSE EPARGNE),LAFAYETTE,LYON,69003,200046977
542095336,"LAGARDERE TRAVEL RETAIL FRANCE (COFEC - RELAY, RELAY STORE, RELAY SHOP, RELAY WEB, RELAY INTERNATIONAL)",ANDRE MALRAUX,LEVALLOIS-PERRET,92300,200054781
