nom,siren,nombre_etablissements,nombre_etablissements_ouverts,num�ro_voie,adresse,complement_voie,code_postal,ville,activit�,caract�re_employeur,epci,etat_administratif,date_creation,tranche_effectif_salarie
IRISOLAR 18,844149781,152,116,1200,OLIVIER PERROY,BAT. F,13790,ROUSSET,35.11Z,N,200054807,A,2020-09-08,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
CAISSE REG CREDIT AGRICOLE MUT CTRE-EST (CRCAMCE),399973825,654,274,1,PIERRE DE TRUCHIS DE LAYS,,69410,CHAMPAGNE-AU-MONT-D OR,64.19Z,O,200046977,A,1995-01-01,42
DEPARTEMENT DE L AIN,220100010,103,90,45,D'ALSACE LORRAINE,,01000,BOURG-EN-BRESSE,84.11Z,O,200071751,A,1983-03-01,42
PHEBUS INVEST 06 (PHEBUS INVEST 06) (SASU),987770815,100,86,3,DE LACOURTENSOURT,,31150,FENOUILLET,35.11Z,N,243100518,A,2024-03-18,NN
SATURNE,878459890,34,22,10,DE VERDUN RAMBAUD,LE COURS DU MIDI,69002,LYON,35.11Z,N,200046977,A,2023-02-03,NN
SOCIETE TELLIF,341091643,24,18,40,AMPERE,ZAC DES PORTES DU VEXIN,95300,ENNERY,35.11Z,N,249500430,A,2016-02-15,NN
OXYANE SOLAIRE I,890326945,27,13,10,DE VERDUN RAMBAUD,LE COURS DU MIDI,69002,LYON,35.11Z,N,200046977,A,2023-02-03,NN
INATA,791931264,13,12,52,DU SABLON,,01300,MAGNIEU,35.11Z,N,200040350,A,2013-03-25,NN
COMMUNE DE GROSLEE-SAINT-BENOIT,200060143,8,8,13,DES VIEILLES MAISONS,,01300,GROSLEE-SAINT-BENOIT,84.11Z,O,200040350,A,2016-01-01,11
COMMUNE DE ARBOYS EN BUGEY,200053668,6,6,,DE LA MAIRIE,,01300,ARBOYS EN BUGEY,84.11Z,O,200040350,A,2016-01-01,03
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,7074,2979,51,DES MECHES,,94000,CRETEIL,56.29B,N,200054781,A,2025-04-01,NN
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
OGF,542076799,3072,1639,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,96.03Z,O,200054781,A,2024-07-01,NN
CREDIT LYONNAIS (LCL),954509741,3436,1441,18,DE LA REPUBLIQUE,,69002,LYON,64.19Z,O,200046977,A,2001-08-31,41
CARREFOUR PROXIMITE FRANCE,345130488,2921,1399,,DE PARIS,ZI,14120,MONDEVILLE,68.20B,N,200065597,A,1988-06-02,03
MCDONALD'S FRANCE,722003936,1430,1343,1,GUSTAVE EIFFEL,Z I,78280,GUYANCOURT,68.20B,N,200058782,A,1993-09-01,NN
OBOL FRANCE 3,828160069,1130,1128,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,70.22Z,O,200054781,A,2024-07-01,NN
PICARD SURGELES,784939688,1203,1126,1,MILITAIRE,,77300,FONTAINEBLEAU,70.10Z,O,200072346,A,2020-06-12,22
CARGLASS S.A.S. (CARGLASS PARE-BRISE COURBEVOIE),425050556,1241,940,107,DE LA MISSION MARCHAND,,92400,COURBEVOIE,45.20A,O,200054781,A,2006-04-03,21
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
